timestamp_us,local_timestamp_us,exchange,market_id,slug,asset_id,outcome,bid_price,bid_size,ask_price,ask_size
1772317879418000,1772317879428756,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1655.88,0.5,554.88
1772317879420000,1772317879429889,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1660.88,0.5,554.88
1772317883672000,1772317883681259,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1660.88,0.5,559.88
1772317883673000,1772317883682111,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1665.88,0.5,559.88
1772317888450000,1772317888461024,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1665.88,0.5,564.88
1772317888452000,1772317888461525,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1670.88,0.5,564.88
1772317892505000,1772317892514944,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1670.88,0.5,569.88
1772317892507000,1772317892515733,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1675.88,0.5,569.88
1772317896839000,1772317896849658,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1675.88,0.5,574.88
1772317896841000,1772317896851011,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1680.88,0.5,574.88
